,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
07/11/2023,27640.85118,35046.09,28304.8656,35888,27228.33742,34523.06,27919.28594,35399.12,38688.73692,38688.73692
06/11/2023,27613.87764,35011.89,27822.44147,35276.33,27388.31733,34725.9,27640.85118,35046.09,22346.47086,22346.47086
05/11/2023,27653.44672,35062.06,27904.206,35380,27169.1376,34448,27613.86976,35011.88,24528.73376,24528.73376
04/11/2023,27381.12439,34716.78,27805.6185,35255,27277.33147,34585.18,27653.45461,35062.07,18377.55545,18377.55545
03/11/2023,27558.42415,34941.58,27562.30455,34946.5,26910.444,34120,27381.12439,34716.78,39071.20644,39071.20644
02/11/2023,27936.88184,35421.43,28381.36161,35984.99,27052.41,34300,27558.43203,34941.59,48015.57732,48015.57732
01/11/2023,27320.39449,34639.78,28063.5234,35582,26892.61149,34097.39,27936.88184,35421.43,53473.28165,53473.28165
31/10/2023,27190.22744,34474.74,27384.05046,34720.49,26835.5175,34025,27320.3866,34639.77,32737.89822,32737.89822
30/10/2023,27230.56156,34525.88,27490.9272,34856,26865.36191,34062.84,27190.21955,34474.73,33657.95976,33657.95976
29/10/2023,26879.69259,34081.01,27407.41176,34750.11,26760.591,33930,27230.56944,34525.89,20685.52176,20685.52176
28/10/2023,26730.62829,33892.01,27204.88937,34493.33,26705.382,33860,26879.6847,34081,16880.13144,16880.13144
27/10/2023,26935.41424,34151.66,27009.0315,34245,26335.44227,33390.95,26730.63617,33892.02,32330.40106,32330.40106
26/10/2023,27207.03464,34496.05,27465.79133,34824.13,26619.4137,33751,26935.41424,34151.66,39744.66255,39744.66255
25/10/2023,26754.85715,33922.73,27709.2788,35132.85,26562.66674,33679.05,27207.03464,34496.05,54887.02529,54887.02529
24/10/2023,26082.30111,33069.99,27825.336,35280,25894.86656,32832.34,26754.85715,33922.73,115265.0242,115265.0242
23/10/2023,23655.0532,29992.46,27400.94442,34741.91,23569.19532,29883.6,26082.30111,33069.99,93513.64246,93513.64246
22/10/2023,23589.85926,29909.8,23856.5976,30248,23377.068,29640,23655.0532,29992.46,22852.54563,22852.54563
21/10/2023,23399.97974,29669.05,23960.69811,30379.99,23238.8641,29464.77,23589.85926,29909.8,27517.51897,27517.51897
20/10/2023,22646.50308,28713.71,23824.69469,30207.55,22539.69732,28578.29,23399.97185,29669.04,59422.0992,59422.0992
19/10/2023,22335.984,28320,22806.75114,28916.89,22162.99054,28100.66,22646.50308,28713.71,35895.50179,35895.50179
18/10/2023,22395.85422,28395.91,22858.38733,28982.36,22196.28157,28142.87,22335.984,28320,32162.47591,32162.47591
17/10/2023,22478.5573,28500.77,22567.58576,28613.65,22138.27268,28069.32,22395.85422,28395.91,38428.44532,38428.44532
16/10/2023,21416.47022,27154.14,23661,30000,21383.75494,27112.66,22478.56519,28500.78,78399.22445,78399.22445
15/10/2023,21178.55098,26852.48,21526.24937,27293.33,21143.66678,26808.25,21416.47811,27154.15,15274.6917,15274.6917
14/10/2023,21186.0594,26862,21286.68175,26989.58,21128.4843,26789,21178.55098,26852.48,10417.25576,10417.25576
13/10/2023,21105.32018,26759.63,21397.431,27130,21046.4595,26685,21186.0594,26862,24115.76499,24115.76499
12/10/2023,21196.72262,26875.52,21253.13045,26947.04,20943.9285,26555,21105.32018,26759.63,23428.64112,23428.64112
11/10/2023,21602.58764,27390.12,21671.41749,27477.39,20931.04114,26538.66,21196.72262,26875.52,37349.44706,37349.44706
10/10/2023,21760.32764,27590.12,21874.5945,27735,21529.9326,27298,21602.58764,27390.12,22776.84383,22776.84383
09/10/2023,22018.18522,27917.06,22074.08039,27987.93,21499.962,27260,21760.32764,27590.12,31534.74639,31534.74639
08/10/2023,22049.42563,27956.67,22158.63692,28095.14,21837.13125,27687.5,22018.17734,27917.05,19693.56921,19693.56921
07/10/2023,22029.25857,27931.1,22107.00073,28029.67,21959.0485,27842.08,22049.42563,27956.67,13348.83825,13348.83825
06/10/2023,21618.57459,27410.39,22316.2665,28295,21433.66388,27175.94,22029.25068,27931.09,37983.24277,37983.24277
05/10/2023,21908.95816,27778.57,22178.55159,28120.39,21572.5224,27352,21618.57459,27410.39,30681.49619,30681.49619
04/10/2023,21631.24112,27426.45,21957.18716,27839.72,21454.2174,27202,21908.95816,27778.57,29816.142,29816.142
03/10/2023,21684.92004,27494.51,21828.47132,27676.52,21421.48635,27160.5,21631.249,27426.46,28928.96555,28928.96555
